#: table_doi: 10.17182/hepdata.60488.v1/t1
#: name: Table 1
#: description: Measured differential photoproduction cross section as a function of the squared transverse momentum of the J/PSI.

#: data_file: Table1.yaml
#: keyword reactions: GAMMA P --> J/PSI X
#: keyword observables: DSIG/DPT**2
#: keyword phrases: Inclusive | J/Psi | Single Differential Cross Section | Transverse Momentum Dependence | Photoproduction
#: Q**2 [GeV^2],,,0.0-2.5
#: RE,,,GAMMA P --> J/PSI X
#: W [GeV],,,60.0-240.0
#: Z,,,0.3-0.9
PT(P=3) [GEV**2],PT(P=3) [GEV**2] LOW,PT(P=3) [GEV**2] HIGH,D(SIG)/DPT [NB/GEV**2],stat +,stat -,sys +,sys -
1.5,1.0,2.1,7.75,0.82,-0.82,0.7,-0.7
2.7,2.1,3.5,4.43,0.48,-0.48,0.4,-0.4
4.3,3.5,5.4,2.55,0.28,-0.28,0.23,-0.23
6.3,5.4,7.6,1.06,0.13,-0.13,0.1,-0.1
8.6,7.6,10.0,0.677,0.084,-0.084,0.061,-0.061
11.4,10.0,13.5,0.391,0.048,-0.048,0.035,-0.035
15.6,13.5,20.0,0.156,0.02,-0.02,0.014,-0.014
22.1,20.0,26.5,0.0509,0.0078,-0.0078,0.0046,-0.0046
30.0,26.5,40.0,0.0175,0.0029,-0.0029,0.0015,-0.0015
46.0,40.0,60.0,0.0049,0.0012,-0.0012,0.0004,-0.0004
70.0,60.0,100.0,0.0009,0.00035,-0.00035,8e-05,-8e-05

